"targetWallet","tokenAddress","transactionHash","previousBalance","newBalance","started","confirmed","failed"
"0x4b97858496de0b65f30e13f4d499FB02D976502b","0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984",,"1935413600948202317","63094205597707933",true,false,false
"0x4b97858496de0b65f30e13f4d499FB02D976502b","0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984",,"63094205597707933","53094205597707933",true,true,false
