"targetWallet","tokenAddress","transactionHash","previousBalance","newBalance","started","confirmed","failed"
"0x91a669C006A89A2983985a5db3a314E4AfC579FD","0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984",,"13002403782582072","0",true,true,false
"0x91a669C006A89A2983985a5db3a314E4AfC579FD","0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984",,"52009615130328288","26004807565164144",true,true,false
